sample_id,policy,cell_code,cycles,best_degree,voltage_hr,capacity_fit,dqdv_hr
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4387584,0.016846686364888674,1.817581243890815
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4367584000000004,0.013211523877107445,1.7704544711809422
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4347584,0.009764868480164945,1.67123269661397
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4327584000000004,0.006526593090651511,1.5629596468261204
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4307584,0.0035130298928605086,1.4473431884786803
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4287584000000004,0.0007372203367367325,1.3259687713366013
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4267584,-0.001790845192485846,1.2003045260234173
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4247584000000004,-0.004063997767356997,1.0717062299991915
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4227584,-0.006077670112482558,0.9414221437683681
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4207584000000004,-0.00782968634243053,0.8105977193038767
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4187584,-0.009320060989698009,0.6802801826586979
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4167584000000004,-0.010550807073065382,0.5514229927186944
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4147584,-0.011525752960572733,0.4248901780446874
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4127584000000004,-0.012250367785244187,0.30146055373461644
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,9,3.4107584,-0.012731595175511146,0.18183182021583377
